families,n_families,n_features,model,train_run_path,val_score,test_rmse,duration_sec,timestamp
global,1,4,rf,results/smoke_sweep\models\runs\6ca10b05-8ecb-45e1-8b1f-75d75a5dd008,,0.05271085703087251,0.1085383892059326,1757517746.841951
global,1,4,xgb,results/smoke_sweep\models\runs\0c7e806f-c96d-4c69-a20d-5e12f7128f15,,0.0625792736339074,0.0490059852600097,1757517746.966588
global,1,4,lgbm,results/smoke_sweep\models\runs\7868aaa2-aba3-4499-9bfc-4f01a0b5ca19,,0.047424863758068,0.1766796112060547,1757517747.0257154
global,1,4,catboost,results/smoke_sweep\models\runs\d932799e-b07a-4080-8c40-264f977fb996,,0.0554887063141924,0.895766019821167,1757517747.2111597
global|per_qubit_agg,2,7,rf,results/smoke_sweep\models\runs\640d7afd-f9da-42e8-8c46-ea02a85f848a,,0.055103703048402355,0.1401541233062744,1757517748.1645968
global|per_qubit_agg,2,7,xgb,results/smoke_sweep\models\runs\95b239be-4a67-48bd-b883-777886bd2cd6,,0.0603411499340794,0.0417170524597168,1757517748.3420525
global|per_qubit_agg,2,7,lgbm,results/smoke_sweep\models\runs\5cdd5f8c-b9f2-4230-8adc-9e4f7793e5b6,,0.0503555317891272,0.023104190826416,1757517748.3942888
global|per_qubit_agg,2,7,catboost,results/smoke_sweep\models\runs\1807c61c-bc39-402f-9d0b-f178cb9b9bb4,,0.0567711566282387,0.825110673904419,1757517748.424371
global|per_qubit_agg|local_density,3,10,rf,results/smoke_sweep\models\runs\c9334f40-3e3f-4eeb-8c3c-c6fb7d317de4,,0.05230117532869326,0.1242041587829589,1757517749.3665457
global|per_qubit_agg|local_density,3,10,xgb,results/smoke_sweep\models\runs\99f5e0c2-317e-4028-b61b-46c14fc96f07,,0.0571331856299683,0.0380694866180419,1757517749.5230029
global|per_qubit_agg|local_density,3,10,lgbm,results/smoke_sweep\models\runs\b187c133-2206-4a5f-b7ab-08994b09e508,,0.0524303162446935,0.0215463638305664,1757517749.5831451
global|per_qubit_agg|local_density,3,10,catboost,results/smoke_sweep\models\runs\80521b1b-1e85-4401-af93-590589d2246b,,0.055688111165638,0.9269630908966064,1757517749.61792
global|per_qubit_agg|local_density|graph_spectral,4,15,rf,results/smoke_sweep\models\runs\b01caa23-a12b-403e-9ec8-35dfebfed0e7,,0.05253525874549079,0.1368765830993652,1757517750.981393
global|per_qubit_agg|local_density|graph_spectral,4,15,xgb,results/smoke_sweep\models\runs\a51c720d-bb2d-42ae-b63a-88248a9f7a0c,,0.0571331856299683,0.0396804809570312,1757517751.1528485
global|per_qubit_agg|local_density|graph_spectral,4,15,lgbm,results/smoke_sweep\models\runs\66b6315d-9a12-4ba7-9e1b-cd0aa23c5c4c,,0.0524303162446935,0.0253083705902099,1757517751.2064314
global|per_qubit_agg|local_density|graph_spectral,4,15,catboost,results/smoke_sweep\models\runs\9fe839f8-f36e-4d73-8dd4-5b6ea7939dbc,,0.055688111165638,0.8671016693115234,1757517751.2317398
global|per_qubit_agg|local_density|graph_spectral|noise_stats,5,18,rf,results/smoke_sweep\models\runs\bba5a989-f7bc-4c6e-a257-ecc0995a90d6,,0.051494082985140695,0.1471383571624755,1757517752.571627
global|per_qubit_agg|local_density|graph_spectral|noise_stats,5,18,xgb,results/smoke_sweep\models\runs\8ca3f57e-7492-4d7b-971a-5bf98968215f,,0.0577536537014926,0.0442259311676025,1757517752.7517118
global|per_qubit_agg|local_density|graph_spectral|noise_stats,5,18,lgbm,results/smoke_sweep\models\runs\cce949d8-7a44-4932-a159-7118703d3fa3,,0.054409017425076,0.0239357948303222,1757517752.809214
global|per_qubit_agg|local_density|graph_spectral|noise_stats,5,18,catboost,results/smoke_sweep\models\runs\5c0e237c-366b-4f3a-b589-3195fc837702,,0.053588871197427,0.9859075546264648,1757517752.8415868
global|per_qubit_agg|local_density|graph_spectral|noise_stats|derived_interactions,6,20,rf,results/smoke_sweep\models\runs\6bb16e6b-446f-4523-8672-991de6214966,,0.052490982814435705,0.1629621982574463,1757517754.318941
global|per_qubit_agg|local_density|graph_spectral|noise_stats|derived_interactions,6,20,xgb,results/smoke_sweep\models\runs\c87c26b9-a293-40ae-b868-65db40e440f0,,0.0597002657857558,0.0397627353668212,1757517754.5057275
global|per_qubit_agg|local_density|graph_spectral|noise_stats|derived_interactions,6,20,lgbm,results/smoke_sweep\models\runs\4516501a-9027-4d51-ba7f-cb61fca52b6e,,0.0539636903435372,0.0215528011322021,1757517754.575558
global|per_qubit_agg|local_density|graph_spectral|noise_stats|derived_interactions,6,20,catboost,results/smoke_sweep\models\runs\05fdeab8-1771-4283-a9c0-0a86b3ead0dc,,0.0571652227721514,1.0046288967132568,1757517754.6087253
